Term,Definition
Database,An organized collection of data that allows for quick retrieval and updates
Relational Database,A type of database with a structure that allows users to identify and access data in relation to another piece of data in the database.
Relational Database Management System (RDBMS),"A program that allows you to create, update, and administer a relationsal database"
Structured Query Language (SQL),A programming language used to communicate with data stored in an RDBMS
Data Manipulation Language (DML),A type of SQL statement that deals with the manipulation of data present in the database
Data Definition Language (DDL),"A type of SQL statement that is used to create/modify/delete database structures, but NOT data"
Data Control Language (DCL),"A type of SQL statement that mainly deals with the rights, permissions, and other controls of the database system"
SELECT,A DML statement that returns all the values in the specified column from the named table
SELECT DISTINCT,"SELECT, but only the unique values from the table"
WHERE,"If you want to be more specific about what data is returned from your SELECT statement, set a conditional with WHERE."
ORDER BY,A clause used to order the results returned from the database
LIMIT,A clause used to retrieve only a certain number of rows
Aggregate Function,"A function that performs a calculation on a set of values, and returns a single value. Except fo COUNT(), aggregate functions ignore null values."
COUNT(),Returns the number of rows that matches a specified criterion
AVG(),Retuns the average value of a numeric column
SUM(),Returns the total sum of a numeric column
MIN(),Returns the smallest value in the numeric column
MAX(),Returns the largest value in a numeric column
GROUP BY,"Groups rows that have teh same values into summary rows, ex ""find the number of customers in each country"""
HAVING,"WHERE, but for aggregate functions. **Not covered in LMS"
Primary Key (PK),The column (or a combination or columns) in a table in an RDBMS that contain values that uniquely identify each row in the table
Foreign Key (FK),"A column (or a combination of columns) that is used to establish and enforce a link between the data in two tables to control the data that can be stored in the foreign key table. If a PK in one table is referenced by another, it becomes a foreign key in the second table."
Cardinality,"In SQL, it refers to the uniqueness of data in a specific column of a table. In other words - the more cardinality there is, the less data duplication there is."
Many-to-many,"A many-to-many relationship is at ype of cardinality that refers to a relationship between two tables in a database. In an RDBMS, these types of relationships are implemented by means of an associative table."
One-to-many,"With a one-to-many relationship - if you have two elements A&B, an element of A may be linked to many elements of B, but B is only linked to one element of A."
JOIN,A clause used to slect data from more than one data table at a time
(INNER) JOIN,Returns records that have matching values in both tables (is the default for JOINs)
LEFT (OUTER) JOIN,"Returns all records from the left table, and the matched records from the right table"
RIGHT(OUTER) JOIN,"Returns all the records from the right table, and the matched records from the left table"
FULL (OUTER) JOIN,Returns all records when there is am atch in either left or right table
INSERT,A clause used to add a row into a table
UPDATE,"A clasue used to update an existing row. Remember to use a WHERE statement along wiht it, otherwise the update will apply to every row in the table."
DELETE,A claused used to delete a row from the database. Remember the WHERE!
Constraints,SQL constraints are used to specify rules for the data in a table. 
Foreign Key Constraint,A type of constraing that is used to prevent actions that would destroy links between tables
Unique (Constraint),Verifies values in the column are unique among all rows in the table. 
Not Null (Constraint),Verifies all rows have a value fo this column and is never null.
"Default ""value"" (constraint)","If a row is entered and this column isn't given a value, it gets the default value"
Check (constraint),"Verifies that the value in the column meets a programmer-defined condition, such as age>=18."
Transaction,"A ""unit"" of work that is performed against a database. A ""unit"" can be a sequence of several statements completed in a logical order. By putting everything in a single transaction block, you can ensure everything is executed before changes are committed."
ACID,"An acronym that summs up the properties of transactions:atomicity, consistency, isolation, durability"
Atomicity,Ensuring all operations are completed successfully
Consistency,"Ensuring database properly changes states upon a successfully committed transaction - in other words, all statements in the transaction happens at the same time"
Isolation,Enables transactions to operate independently of and transparently to each other
Durability,Ensures that the result or effect of a committed transaction persists in case of a system failure
Data Modeling,The process of creating a visual representation of either a whole information system or parts of it to communicate connections between data points and structures.
Logical Design,The process of creating a design that follows the rules of the relational data model
Physical Design,"The process of adjusting the logical design to meet requirements related to performance, ease of use, and hardware/software RDBMS limitations. This includes defining the data types for each column and how much room to use to store the data."
Physical Implementation,"The process of creating tables and supporting objects such as sequences, indexes, views + aliases, and granting user access on the tables and columns. AKA, where your design is translated from an idea on paper/drawing to actual code. "
Parent Table,A table whose primary key is matched by foreign keys in one or more other tables
Dependent Table,A table whose rows are dependent on an existing row on another table. The foreign key of a dependent matches the entire primary key of its parent. 
Ordinality,(Comes with cardinality) Ordinality is the miminum number of times an instance in one entity can be associated with an instance in the related entity.
Normalization,A logical database design technique which organizes tables in a manner that reduces redundancy and dependency of data. 
1NF,Each table cell should contain a single value. Each record is unique.
2NF,Table must be in 1NF. There should be a single column primary key that is not functionally dependent on any subset of candidate key relation. (You probably had to split your origina table into two and assign a primary key that connects the data between them.)
